cycle_time,spt_policy,fifo_policy,hrrn_policy,longest_queue_policy,shortest_queue_policy
90.01877030052562,8622,4626,2142,2634,752
97.61725228140651,9290,4236,1706,2458,837
83.19299257805679,8729,4583,2144,2761,745
105.90806029632061,9002,4488,1860,2607,939
125.72881079915301,9317,4331,1723,2477,1045
123.01620745759588,9474,4386,1743,2533,934
104.84555976691448,9095,4499,1852,2511,948
116.50561573886748,9135,4443,1777,2447,959
90.27738919598944,8949,4589,1935,2620,878
112.08388099519539,9307,4496,1669,2474,878
155.50786493671788,9695,4268,1449,2377,1173
126.63801133509388,9048,4447,1873,2514,963
143.69518928090568,9481,4353,1786,2398,1151
119.25916468933681,9266,4359,1725,2439,1002
160.19280898869766,9499,4490,1531,2257,1029
233.85318317132248,9971,4596,1400,2114,1109
74.8701317532717,8367,4581,2158,2866,705
126.10429762948588,9446,4508,1725,2362,1092
96.96198499284193,8820,4411,2000,2753,858
149.01156379845193,9700,4297,1537,2306,1140
110.5095297210277,9032,4572,1888,2431,919
111.48480726488702,9201,4466,1680,2508,993
133.8612666898828,9390,4381,1628,2262,968
332.6997886035467,9828,4849,1273,2008,845
263.1567885825587,9682,4590,1378,2148,1002
113.7321157589841,9492,4393,1704,2323,1008
87.97415786885568,8935,4426,1927,2569,736
111.73158269603437,8943,4677,1938,2530,985
83.25856377427449,8794,4457,1940,2708,778
101.82700826429888,9013,4535,1907,2651,844
113.88723270866082,9521,4302,1644,2396,1051
112.37895923326221,9248,4387,1724,2654,1054
93.4300160268486,9163,4335,1909,2667,870
116.3938664938295,9305,4405,1822,2491,945
110.23521868269462,9000,4472,1858,2488,943
108.65869822870698,9386,4378,1870,2468,935
132.26075444347114,9341,4409,1747,2327,1042
121.84364448984591,9248,4380,1826,2503,894
136.73060171282071,9431,4408,1636,2360,1022
184.56219694664452,9663,4451,1573,2296,1123
137.5542326675633,9388,4521,1849,2451,1098
115.66124366304945,9334,4449,1852,2401,1016
164.93846062107374,9054,4761,1682,2362,902
156.5978607757952,9349,4456,1596,2342,1126
150.6776582840135,9518,4460,1659,2393,1106
107.97239445850174,8921,4544,2042,2570,846
110.08471376864989,9218,4402,1752,2387,846
120.90180858958692,9392,4177,1714,2341,1002
133.89687728154266,9402,4388,1760,2196,1063
108.5782851317134,9227,4519,1794,2541,980
104.43711065075657,9078,4522,1814,2495,837
101.7713345349029,9483,4320,1993,2512,894
121.86833436620371,9191,4500,1739,2634,931
129.96169339019193,9219,4535,1742,2519,983
124.88992600405068,9454,4300,1631,2296,1116
136.450419953477,9610,4434,1480,2390,1021
114.51629030589612,9547,4178,1806,2479,898
93.42789506132894,9168,4491,1961,2585,820
106.94471115621899,9257,4497,1848,2574,825
115.76727777364762,9396,4480,1711,2561,898
117.95896742486926,9280,4273,1778,2566,1092
100.7330143175479,9262,4387,1971,2695,923
101.17285109682226,8936,4462,1971,2523,845
168.87549353354962,9566,4607,1602,2222,1070
104.76661205058599,8821,4596,1848,2567,953
144.58325340742223,9398,4445,1584,2373,1153
118.83530166588022,9183,4491,1896,2554,1036
87.0223760194699,8582,4590,1929,2572,800
100.15830413062184,8624,4668,2124,2630,805
165.54670003615888,9487,4418,1592,2349,1122
97.39281953544258,8877,4630,1997,2656,880
94.17766690756011,8842,4464,2056,2628,885
117.34204088171849,9200,4465,1907,2571,975
175.53644490010163,9971,4245,1378,2215,1270
133.53150038849012,9409,4348,1815,2493,972
130.7564741871603,9218,4518,1728,2477,964
95.41743949960895,9028,4351,2029,2625,857
115.51622302408074,9027,4592,2086,2534,876
99.88196772529274,8973,4366,1935,2531,839
124.33939364547312,9339,4348,1792,2391,927
96.77508356355091,9162,4471,1856,2473,856
90.01608466987221,8580,4666,2008,2614,707
131.85918963796004,9055,4634,1842,2343,968
92.49954185255255,9305,4333,1897,2439,895
118.02254529355885,9194,4328,1992,2527,930
128.3351543219585,9691,4415,1721,2369,1129
121.03901360562239,9598,4265,1507,2315,1076
94.38816874779845,8873,4524,1721,2625,847
120.25042711263173,9385,4392,1620,2429,1046
146.16567977264302,9620,4348,1760,2422,1073
82.45986049212866,8503,4638,2102,2686,718
106.5738631266946,9058,4434,1905,2618,860
90.59238995068172,9091,4495,1971,2617,788
130.4775812964892,9069,4633,1862,2358,962
91.63865059473983,8792,4655,1971,2557,879
105.66775878868722,9261,4335,1780,2611,939
101.38379878376911,9280,4350,1831,2461,920
107.84064589988668,9152,4358,1671,2479,1122
164.52960881922303,9363,4657,1762,2298,945
111.85083754448692,9092,4441,1817,2361,990
94.8132601933237,8500,4614,2099,2673,866
114.9117691654273,9081,4410,1810,2534,884
145.1031589352061,9228,4380,1764,2444,1032
119.50260050577728,9085,4565,1781,2493,903
112.93342613011556,9521,4253,1659,2388,961
133.17431096257863,9763,4208,1516,2351,1145
133.58811522635904,9347,4539,1652,2388,901
106.9977957604453,9113,4467,1729,2499,899
145.20660281838477,9412,4508,1656,2316,902
183.6825536059233,9425,4571,1544,2310,971
123.18207051609524,9132,4468,1865,2476,970
135.78968472772104,9417,4492,1799,2456,1008
127.67009328814666,8718,4715,1891,2532,836
228.81346309969862,9571,4761,1607,2201,1167
112.76950701999135,9240,4513,1705,2607,1059
121.09401001199255,9173,4476,1763,2475,955
105.02527281538605,9096,4446,1922,2470,914
86.01276977155665,8797,4619,2016,2508,740
100.29164999341185,9206,4406,1730,2392,907
132.11862905171157,9377,4408,1512,2413,1108
115.70698760864613,9487,4379,1608,2410,931
89.65944577272691,8948,4579,1909,2606,833
140.56525447612324,9449,4462,1643,2321,1072
93.71338661492764,9062,4308,2133,2651,943
97.94043628013006,9076,4516,1902,2570,886
156.1719039277028,9573,4487,1633,2413,1027
89.43414270307673,8727,4677,2041,2703,814
129.97055417572398,9545,4343,1635,2341,1041
98.3492204618735,9241,4325,1947,2543,822
124.91343053331607,9469,4343,1661,2402,973
183.54586529586624,9701,4451,1521,2102,1193
127.06382151242259,9331,4506,1573,2492,1129
107.89468459278254,8855,4485,1808,2528,974
96.54046150050293,8947,4414,1954,2607,866
112.59318328493542,9355,4315,1748,2515,987
